Time,UF유입압력_PT001,UF유입압력_PT007,UF유입압력_PT002,UF유입압력_PT005,UF압력_UF-TMP,UF유입압력_PT003,UF유입압력_PT004,UF유입압력_PT006,UF처리탁도_TUB001,UF농축유량_FIT001,UF처리유량_FIT002,UF유입온도_TIT001,UF유입온도_TIT002,UF유입온도_TIT003,전기전도도_EC001,UFpH_pH001,UF히터_EH001,UF레귤레이터_REG001,UF레귤레이터_REG002,UF펌프_P001,UF펌프_P002,UF펌프_P003,UF펌프_P004,UF펌프_P005,XV001,XV002,XV003,XV004,XV005,XV006,XV007,XV008,XV009,XV010,XV011,XV012
10/22/2025 14:49,1.4297,1.3519,0,1.1275,1.2786,1.4297,1.3519,1.1275,1.725,23.8871,2.3716,48.175,48.175,48.175,23.8871,2.3716,,,,45.8034,21.5155,22.1621,22.5352,22.4574,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:54,1.4269,1.3519,0,1.1088,1.26785,1.4269,1.3519,1.1088,1.75,23.8588,2.3662,48.4625,48.4625,48.4625,23.8588,2.3662,,,,46.0963,21.4926,22.1088,22.5069,22.4319,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 14:59,1.4316,1.3519,0,1.1313,1.28145,1.4316,1.3519,1.1313,1.775,23.8814,2.3752,48.275,48.275,48.275,23.8814,2.3752,,,,45.8998,21.5062,22.1064,22.5295,22.4498,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:04,1.4331,1.3506,0,1.1263,1.2797,1.4331,1.3506,1.1263,1.775,23.8645,2.3698,48.1688,48.1688,48.1688,23.8645,2.3698,,,,45.799,21.4947,22.0895,22.5139,22.4314,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:09,1.4331,1.3528,0,1.1387,1.2859,1.4331,1.3528,1.1387,1.775,23.8871,2.3734,48.2875,48.2875,48.2875,23.8871,2.3734,,,,45.9141,21.5137,22.1121,22.5343,22.454,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:14,1.4297,1.3531,0,1.1338,1.28175,1.4297,1.3531,1.1338,1.75,23.8673,2.3734,48.2875,48.2875,48.2875,23.8673,2.3734,,,,45.9141,21.4939,22.1173,22.5142,22.4376,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:19,1.4334,1.3541,0,1.1313,1.28235,1.4334,1.3541,1.1313,1.75,23.8871,2.3644,48.0313,48.0313,48.0313,23.8871,2.3644,,,,45.6669,21.5227,22.1371,22.533,22.4537,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:24,1.4313,1.3525,0,1.1313,1.2813,1.4313,1.3525,1.1313,1.775,23.8617,2.3734,48.2313,48.2313,48.2313,23.8617,2.3734,,,,45.8579,21.4883,22.0867,22.5092,22.4304,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:29,1.4316,1.3531,0,1.1063,1.26895,1.4316,1.3531,1.1063,1.75,23.8164,2.3752,48.4125,48.4125,48.4125,23.8164,2.3752,,,,46.0373,21.4412,22.0664,22.4633,22.3848,1,1,1,0,1,1,0,1,1,1,1,1
10/22/2025 15:34,1.4291,1.3503,0,1.1188,1.27395,1.4291,1.3503,1.1188,1.75,23.8532,2.368,48.2688,48.2688,48.2688,23.8532,2.368,,,,45.9008,21.4852,22.1032,22.5029,22.4241,1,1,1,0,1,1,0,1,1,1,1,1
